wavelength[nm] rspd_A[-] rspd_D50[-] rspd_D65[-]
677 183.4470 100.2940 79.4823
678 184.1090 99.90710 79.0829
679 184.7700 99.52000 78.6836
680 185.4290 99.13300 78.2842
681 186.0870 97.95780 77.4279
682 186.7430 96.78260 76.5716
683 187.3970 95.60740 75.7153
684 188.0500 94.43220 74.8590
685 188.7010 93.25700 74.0027
686 189.3500 92.08170 73.1465
687 189.9980 90.90650 72.2902
688 190.6440 89.73130 71.4339
689 191.2880 88.55610 70.5776
690 191.9310 87.38090 69.7213
691 192.5720 87.80320 69.9101
692 193.2110 88.22540 70.0989
693 193.8490 88.64770 70.2876
694 194.4840 89.06990 70.4764
695 195.1180 89.49220 70.6652
696 195.7500 89.91450 70.8540
697 196.3810 90.33670 71.0428
698 197.0090 90.75900 71.2315
699 197.6360 91.18120 71.4203
700 198.2610 91.60350 71.6091
701 198.8840 91.73200 71.8831
702 199.5060 91.86050 72.1571
703 200.1250 91.98900 72.4311
704 200.7430 92.11750 72.7051
705 201.3590 92.24600 72.9790
706 201.9720 92.37460 73.2530
707 202.5840 92.50310 73.5270
708 203.1950 92.63160 73.8010
709 203.8030 92.76010 74.0750
710 204.4090 92.88860 74.3490
711 205.0130 91.28520 73.0745
712 205.6160 89.68180 71.8000
713 206.2160 88.07830 70.5255
714 206.8150 86.47490 69.2510
715 207.4110 84.87150 67.9765
716 208.0060 83.26810 66.7020
717 208.5990 81.66470 65.4275
718 209.1890 80.06120 64.1530
719 209.7780 78.45780 62.8785
720 210.3650 76.85440 61.6040
721 210.9490 77.82010 62.4322
722 211.5320 78.78580 63.2603
723 212.1120 79.75140 64.0885
724 212.6910 80.71710 64.9166
725 213.2680 81.68280 65.7448
726 213.8420 82.64850 66.5730
727 214.4150 83.61420 67.4011
728 214.9850 84.57980 68.2293
729 215.5530 85.54550 69.0574
730 216.1200 86.51120 69.8856
731 216.6840 87.11810 70.4057
732 217.2460 87.72490 70.9259
733 217.8060 88.33180 71.4460
734 218.3640 88.93860 71.9662
735 218.9200 89.54550 72.4863
736 219.4730 90.15240 73.0064
737 220.0250 90.75920 73.5266
738 220.5740 91.36610 74.0467
739 221.1220 91.97290 74.5669
740 221.6670 92.57980 75.0870
741 222.2100 91.14480 73.9376
742 222.7510 89.70980 72.7881
743 223.2900 88.27480 71.6387
744 223.8260 86.83980 70.4893
745 224.3610 85.40480 69.3398
746 224.8930 83.96990 68.1904
747 225.4230 82.53490 67.0410
748 225.9510 81.09990 65.8916
749 226.4770 79.66490 64.7421
750 227.0000 78.22990 63.5927
751 227.5220 76.17610 61.8752
752 228.0410 74.12230 60.1578
753 228.5580 72.06850 58.4403
754 229.0730 70.01470 56.7229
755 229.5850 67.96080 55.0054
756 230.0960 65.90700 53.2880
757 230.6040 63.85320 51.5705
758 231.1100 61.79940 49.8531
759 231.6140 59.74560 48.1356
760 232.1150 57.69180 46.4182
761 232.6150 60.21490 48.4569
762 233.1120 62.73800 50.4956
763 233.6060 65.26120 52.5344
764 234.0990 67.78430 54.5731
765 234.5890 70.30740 56.6118
766 235.0780 72.83050 58.6505
767 235.5640 75.35360 60.6892
768 236.0470 77.87680 62.7280
769 236.5290 80.39990 64.7667
770 237.0080 82.92300 66.8054
771 237.4850 82.45810 66.4631
772 237.9590 81.99320 66.1209
773 238.4320 81.52830 65.7786
774 238.9020 81.06340 65.4364
775 239.3700 80.59850 65.0941
776 239.8360 80.13360 64.7518
777 240.2990 79.66870 64.4096
778 240.7600 79.20380 64.0673
779 241.2190 78.73890 63.7251
780 241.6750 78.27400 63.3828
781 242.1300 78.40200 63.4749
782 242.5820 78.53010 63.5670
783 243.0310 78.65810 63.6592
784 243.4790 78.78620 63.7513
785 243.9240 78.91420 63.8434
786 244.3670 79.04220 63.9355
787 244.8080 79.17030 64.0276
788 245.2460 79.29830 64.1198
789 245.6820 79.42640 64.2119
790 246.1160 79.55440 64.3040
791 246.5480 78.93910 63.8188
792 246.9770 78.32380 63.3336
793 247.4040 77.70850 62.8484
794 247.8290 77.09320 62.3632
795 248.2510 76.47800 61.8779
796 248.6710 75.86270 61.3927
797 249.0890 75.24740 60.9075
798 249.5050 74.63210 60.4223
799 249.9180 74.01680 59.9371
800 250.3290 73.40150 59.4519
801 250.7380 72.45340 58.7026
802 251.1440 71.50520 57.9533
803 251.5480 70.55710 57.2040
804 251.9500 69.60900 56.4547
805 252.3500 68.66080 55.7054
806 252.7470 67.71270 54.9562
807 253.1420 66.76460 54.2069
808 253.5350 65.81650 53.4576
809 253.9250 64.86830 52.7083
810 254.3140 63.92020 51.9590
811 254.7000 64.60590 52.5072
812 255.0830 65.29160 53.0553
813 255.4650 65.97720 53.6035
814 255.8440 66.66290 54.1516
815 256.2210 67.34860 54.6998
816 256.5950 68.03430 55.2480
817 256.9680 68.72000 55.7961
818 257.3380 69.40560 56.3443
819 257.7060 70.09130 56.8924
820 258.0710 70.77700 57.4406
821 258.4340 71.14350 57.7278
822 258.7950 71.50990 58.0150
823 259.1540 71.87640 58.3022
824 259.5110 72.24290 58.5894
825 259.8650 72.60940 58.8765
826 260.2170 72.97580 59.1637
827 260.5670 73.34230 59.4509
828 260.9140 73.70880 59.7381
829 261.2590 74.07520 60.0253
830 261.6020 74.44170 60.3125
